Name,Cuisines,Cost
Beyond Flavours,Chinese,800.0
Beyond Flavours,Continental,800.0
Beyond Flavours,Kebab,800.0
Beyond Flavours,European,800.0
Beyond Flavours,South Indian,800.0
Beyond Flavours,North Indian,800.0
Paradise,Biryani,800.0
Paradise,North Indian,800.0
Paradise,Chinese,800.0
Flechazo,Asian,1300.0
Flechazo,Mediterranean,1300.0
Flechazo,North Indian,1300.0
Flechazo,Desserts,1300.0
Shah Ghouse Hotel & Restaurant,Biryani,800.0
Shah Ghouse Hotel & Restaurant,North Indian,800.0
Shah Ghouse Hotel & Restaurant,Chinese,800.0
Shah Ghouse Hotel & Restaurant,Seafood,800.0
Shah Ghouse Hotel & Restaurant,Beverages,800.0
Over The Moon Brew Company,Asian,1200.0
Over The Moon Brew Company,Continental,1200.0
Over The Moon Brew Company,North Indian,1200.0
Over The Moon Brew Company,Chinese,1200.0
Over The Moon Brew Company,Mediterranean,1200.0
The Fisherman's Wharf,Seafood,1500.0
The Fisherman's Wharf,Goan,1500.0
The Fisherman's Wharf,North Indian,1500.0
The Fisherman's Wharf,Continental,1500.0
The Fisherman's Wharf,Asian,1500.0
eat.fit,Healthy Food,500.0
eat.fit,North Indian,500.0
eat.fit,Continental,500.0
eat.fit,South Indian,500.0
Shah Ghouse Spl Shawarma,Lebanese,300.0
Hyper Local,American,1000.0
Hyper Local,Chinese,1000.0
Hyper Local,North Indian,1000.0
Hyper Local,Kebab,1000.0
Hyper Local,South Indian,1000.0
Cream Stone,Ice Cream,350.0
Cream Stone,Desserts,350.0
Sardarji's Chaats & More,Street Food,400.0
Sardarji's Chaats & More,North Indian,400.0
Sardarji's Chaats & More,Fast Food,400.0
Barbeque Nation,Mediterranean,1600.0
Barbeque Nation,North Indian,1600.0
Barbeque Nation,Kebab,1600.0
Barbeque Nation,BBQ,1600.0
Absolute Sizzlers,Continental,750.0
Absolute Sizzlers,American,750.0
Absolute Sizzlers,Chinese,750.0
The Lal Street - Bar Exchange,North Indian,1300.0
The Lal Street - Bar Exchange,Italian,1300.0
The Lal Street - Bar Exchange,Finger Food,1300.0
AB's - Absolute Barbecues,European,1500.0
AB's - Absolute Barbecues,Mediterranean,1500.0
AB's - Absolute Barbecues,North Indian,1500.0
KFC,Burger,500.0
KFC,Fast Food,500.0
NorFest - The Dhaba,North Indian,550.0
Hotel Zara Hi-Fi,Chinese,400.0
Hotel Zara Hi-Fi,North Indian,400.0
10 Downing Street,North Indian,1900.0
10 Downing Street,Chinese,1900.0
10 Downing Street,Continental,1900.0
Pakwaan Grand,North Indian,400.0
Pakwaan Grand,Chinese,400.0
Pakwaan Grand,Biryani,400.0
13 Dhaba,North Indian,450.0
Jonathan's Kitchen - Holiday Inn Express & Suites,North Indian,1900.0
Jonathan's Kitchen - Holiday Inn Express & Suites,Japanese,1900.0
Jonathan's Kitchen - Holiday Inn Express & Suites,Italian,1900.0
Jonathan's Kitchen - Holiday Inn Express & Suites,Salad,1900.0
Jonathan's Kitchen - Holiday Inn Express & Suites,Sushi,1900.0
B-Dubs,American,1600.0
Amul,Ice Cream,150.0
Amul,Desserts,150.0
SKYHY,North Indian,1400.0
SKYHY,Chinese,1400.0
SKYHY,Continental,1400.0
Tiki Shack,Continental,1000.0
Mustang Terrace Lounge,Mexican,1300.0
Mustang Terrace Lounge,Italian,1300.0
Mustang Terrace Lounge,North Indian,1300.0
Mustang Terrace Lounge,Chinese,1300.0
Mustang Terrace Lounge,Salad,1300.0
"3B's - Buddies, Bar & Barbecue",North Indian,1100.0
"3B's - Buddies, Bar & Barbecue",Mediterranean,1100.0
"3B's - Buddies, Bar & Barbecue",European,1100.0
Behrouz Biryani,Mughlai,600.0
Behrouz Biryani,Biryani,600.0
Hunger Maggi Point,Fast Food,200.0
Pot Pourri,Andhra,900.0
Pot Pourri,South Indian,900.0
Pot Pourri,North Indian,900.0
Pista House,Bakery,1000.0
Pista House,North Indian,1000.0
Pista House,Mughlai,1000.0
Pista House,Juices,1000.0
Pista House,Chinese,1000.0
Marsala Food Company,Arabian,700.0
Marsala Food Company,North Indian,700.0
Marsala Food Company,Chinese,700.0
Club Rogue,North Indian,900.0
Club Rogue,Fast Food,900.0
Mazzo - Marriott Executive Apartments,Italian,1700.0
Mazzo - Marriott Executive Apartments,North Indian,1700.0
Mazzo - Marriott Executive Apartments,South Indian,1700.0
Mazzo - Marriott Executive Apartments,Asian,1700.0
Green Bawarchi Restaurant,North Indian,700.0
Green Bawarchi Restaurant,Chinese,700.0
Green Bawarchi Restaurant,Biryani,700.0
Banana Leaf Multicuisine Restaurant,Biryani,700.0
Banana Leaf Multicuisine Restaurant,South Indian,700.0
Banana Leaf Multicuisine Restaurant,North Indian,700.0
Banana Leaf Multicuisine Restaurant,Chinese,700.0
Banana Leaf Multicuisine Restaurant,Andhra,700.0
Kritunga Restaurant,Andhra,500.0
Kritunga Restaurant,Biryani,500.0
Kritunga Restaurant,Hyderabadi,500.0
Kritunga Restaurant,North Indian,500.0
The Glass Onion,North Indian,1200.0
The Glass Onion,Continental,1200.0
The Glass Onion,Italian,1200.0
The Glass Onion,Asian,1200.0
Deli 9 Bistro,Cafe,700.0
Deli 9 Bistro,Continental,700.0
Deli 9 Bistro,Desserts,700.0
Frio Bistro,European,1200.0
Frio Bistro,Italian,1200.0
Frio Bistro,Continental,1200.0
Frio Bistro,Spanish,1200.0
