Name,Cost_Capped,Cuisine_Count,Avg_Rating,Positive_Count,Negative_Count,Neutral_Count,Cost_Log,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
Beyond Flavours,800.0,6,4.28,82,12,6,6.68586094706836,0,1,1
Paradise,800.0,3,4.7,96,3,1,6.68586094706836,0,1,0
Flechazo,1300.0,4,4.66,91,6,3,7.170888478512505,0,1,-1
Shah Ghouse Hotel & Restaurant,800.0,5,3.21,53,35,12,6.68586094706836,1,0,-1
Over The Moon Brew Company,1200.0,5,4.34,87,7,6,7.0909098220799835,0,1,1
The Fisherman's Wharf,1500.0,5,4.22,85,10,5,7.313886831633462,0,1,1
eat.fit,500.0,4,3.2,51,34,15,6.2166061010848646,1,0,2
Shah Ghouse Spl Shawarma,300.0,1,3.43,59,33,8,5.707110264748875,2,0,3
Hyper Local,1000.0,5,3.64,64,22,14,6.90875477931522,1,0,4
Cream Stone,350.0,2,3.845,72,21,7,5.860786223465865,0,0,2
Sardarji's Chaats & More,400.0,3,3.25,55,30,15,5.993961427306569,2,0,2
Barbeque Nation,1600.0,4,4.12,81,9,10,7.3783837129967145,0,1,1
Absolute Sizzlers,750.0,3,3.62,64,27,9,6.621405651764134,1,0,2
The Lal Street - Bar Exchange,1300.0,3,3.45,61,21,18,7.170888478512505,1,0,4
AB's - Absolute Barbecues,1500.0,3,4.88,97,2,1,7.313886831633462,0,1,0
KFC,500.0,2,2.85,42,44,14,6.2166061010848646,2,2,2
NorFest - The Dhaba,550.0,1,4.03,78,9,13,6.311734809152915,0,0,-1
Hotel Zara Hi-Fi,400.0,2,2.4,30,64,6,5.993961427306569,2,2,-1
10 Downing Street,1900.0,3,3.8,74,12,14,7.550135342488429,0,1,-1
Pakwaan Grand,400.0,3,2.71,34,46,20,5.993961427306569,2,2,-1
13 Dhaba,450.0,1,3.48,63,29,8,6.111467339502679,2,0,3
Jonathan's Kitchen - Holiday Inn Express & Suites,1900.0,5,3.535,63,25,12,7.550135342488429,1,0,4
B-Dubs,1600.0,1,4.81,96,2,2,7.3783837129967145,0,1,-1
Amul,150.0,2,3.9292929292929295,72,21,6,5.017279836814924,0,0,-1
SKYHY,1400.0,3,3.37,53,25,22,7.244941546337007,1,0,2
Tiki Shack,1000.0,1,3.48,62,24,14,6.90875477931522,1,0,2
Mustang Terrace Lounge,1300.0,5,3.31,58,28,14,7.170888478512505,1,0,4
"3B's - Buddies, Bar & Barbecue",1100.0,3,4.76,93,6,1,7.00397413672268,0,1,0
Behrouz Biryani,600.0,2,2.825,43,47,10,6.398594934535208,2,2,2
Hunger Maggi Point,200.0,1,3.12,46,37,17,5.303304908059076,2,2,-1
Pot Pourri,900.0,3,3.32,54,26,20,6.803505257608338,1,0,2
Pista House,1000.0,5,3.23,55,29,16,6.90875477931522,1,0,4
Marsala Food Company,700.0,3,3.46,61,27,12,6.55250788703459,1,0,2
Club Rogue,900.0,2,2.88,44,41,15,6.803505257608338,2,2,2
Mazzo - Marriott Executive Apartments,1700.0,4,4.19,77,9,14,7.438971592395862,0,1,1
Green Bawarchi Restaurant,700.0,3,3.49,57,28,15,6.55250788703459,1,0,2
Banana Leaf Multicuisine Restaurant,700.0,5,3.69,68,18,14,6.55250788703459,1,0,4
Kritunga Restaurant,500.0,4,3.47,60,32,8,6.2166061010848646,1,0,-1
The Glass Onion,1200.0,4,3.83,73,19,8,7.0909098220799835,0,0,2
Deli 9 Bistro,700.0,3,3.82,72,15,13,6.55250788703459,0,0,2
Frio Bistro,1200.0,4,3.61,60,18,22,7.0909098220799835,1,0,-1
Karachi Bakery,500.0,3,3.8,71,20,9,6.2166061010848646,0,0,2
Karachi Cafe,600.0,3,3.715,71,18,11,6.398594934535208,0,0,2
The Foodie Monster Kitchen,500.0,3,3.58,60,21,19,6.2166061010848646,1,0,2
La La Land - Bar & Kitchen,1000.0,4,3.19,51,30,19,6.90875477931522,1,0,2
Owm Nom Nom,900.0,4,3.29,48,32,20,6.803505257608338,1,0,2
Ulavacharu,1400.0,3,3.225,51,32,17,7.244941546337007,1,0,2
Shanghai Chef 2,800.0,4,3.06,48,36,16,6.68586094706836,1,0,2
